id,valeur,source_fichier,ancre,hash,date_source,etiquette,statut,N_eff,rider_id,paire_id,sections_autorisees
N-01,24/24,docs/JOURNAL.md,2026-08-28 ; l.2040 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,24,RD-01,,2;3
N-02,±0.1404,docs/JOURNAL.md,l.2040-2042 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,24,RD-01,,2;3
N-03,±0.1420,docs/JOURNAL.md,l.2040-2042 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,24,RD-01,,2;3
N-04,±0.1682,docs/JOURNAL.md,l.2040-2042 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,24,RD-01,,2;3
N-05,±0.1848,docs/JOURNAL.md,l.2041 (Qwen S3) ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,24,RD-01,,2;3
N-06,+0.1513,docs/JOURNAL.md,l.2042 ; residu reel NON exclu ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,24,RD-01,,2;3
N-07,~20-25 %,docs/JOURNAL.md,l.2042 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,SANS OBJET (dérivée : rapport au niveau predit),RD-01,,2;3
N-08,D35,docs/ARCHITECTURE.md,"§3, l.188 ; formule de lab-math",769a765bbfc63f867626bf70ba4fd08c322240d08d3fbdcd3251afcf32617b58,2026-09-04,"re-lu de l'architecture, non re-mesuré",descriptif,SANS OBJET (dérivée : citation),RD-02,,3
N-09,"cycle unique — politique gravée, pas une loi mesurée",docs/ARCHITECTURE.md,"§3 l.188 (D35, colonne de justification : « Étape A, 2026-09-04 ») + EXP-2026-09-04 l.48 (M-7 : « sans lui, la phrase se lit comme une garantie du banc documentaire ») ; RECONSTRUIT — le texte plein annoncé « INTÉGRÉE verbatim » (0-213) n'existe QUE sous forme élidée (l.349) ; reconstruction déclarée, non une citation",769a765bbfc63f867626bf70ba4fd08c322240d08d3fbdcd3251afcf32617b58,2026-09-04,reconstruit depuis le corpus,rectifié,SANS OBJET (dérivée : citation),RD-02,,3
N-10,+57 %,docs/JOURNAL.md,l.225 « DG apporte +57 % d'interaction sur E2 (−0.035 → −0.055) » ; glose ARRONDIE : 0.055/0.035 = 1.5714 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-20,"re-lu du journal, non re-mesuré",rectifié,"NON ÉTABLI (run unique, variance non estimée — Q-02/Q-09)",RD-03,N-11,2;4
N-11,"+56,5 %",docs/JOURNAL.md,"re-dérivé de l.217 (−0.0551 / −0.0352 = 1.5653) et l.189 ; script=python -c ""print(f'+{(0.0551/0.0352-1)*100:.1f} %')""",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-20,re-dérivé,rectifié,"NON ÉTABLI (run unique, variance non estimée — Q-02/Q-09)",RD-03,N-10,2;4
N-12,−0.0551,docs/JOURNAL.md,"l.189 ; interaction E2, defaut X1b ; non re-mesure depuis les bruts",0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-20,"re-lu du journal, non re-mesuré",descriptif,NON ÉTABLI (run unique),RD-03,,4
N-13,−0.0352,docs/JOURNAL.md,l.217 ; ablation A3 cles denses ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-20,"re-lu du journal, non re-mesuré",descriptif,NON ÉTABLI (run unique),RD-03,,4
N-14,12/12,docs/JOURNAL.md,l.2034 ; plafond atteint ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,12,RD-04,,3
N-15,0.67–0.75,docs/JOURNAL.md,l.2037-2038 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,12,RD-05,N-16,3
N-16,0.61–0.78,docs/JOURNAL.md,l.2037-2038 ; non re-mesure depuis les bruts,0651669fe5fff97cd11e749f52d078a7011e8ce6d1cdd906bf42cd0a4369fcf4,2026-08-28,"re-lu du journal, non re-mesuré",descriptif,12,RD-05,N-15,3
